GENERAL UI/UX	STATUS	PRIORITY
Change the title of the menu option "Warbank" under Inventory to read "Has Warbank Access"	COMPLETE	n/a
Menu option for "Session preferences" - Session persists on logout, session resets on logout - Menu option exists, but functionality not working session resets on logout even with option ticked	INCOMPLETE	HIGH
		
CURRENT BUGS		
"ERROR ON ENTERING COMBAT - UI HID ITSELF AS EXPECTED, BUT THREW THIS ERROR: 1x [ADDON_ACTION_BLOCKED] AddOn 'GoblinToolbox' tried to call the protected function 'GoblinToolboxHUD:EnableMouse()'.
[!BugGrabber/BugGrabber.lua]:583: in function '?'
[!BugGrabber/BugGrabber.lua]:507: in function <!BugGrabber/BugGrabber.lua:507>
[C]: in function 'EnableMouse'
[GoblinToolbox/Core.lua]:278: in function 'SetSecureFrameVisible'
[GoblinToolbox/HUD.lua]:700: in function 'UpdateVisibility'
[GoblinToolbox/GoblinToolbox.lua]:242: in function 'handler'
[GoblinToolbox/GoblinToolbox.lua]:281: in function <GoblinToolbox/GoblinToolbox.lua:278>

Locals:
self = <table> {
}
event = ""ADDON_ACTION_BLOCKED""
addonName = ""GoblinToolbox""
addonFunc = ""GoblinToolboxHUD:EnableMouse()""
name = ""GoblinToolbox""
badAddons = <table> {
 GoblinToolbox = true
}
L = <table> {
 ADDON_CALL_PROTECTED_MATCH = ""^%[(.*)%] (AddOn '.*' tried to call the protected function '.*'.)$""
 NO_DISPLAY_2 = ""|cffffff00The standard display is called BugSack, and can probably be found on the same site where you found !BugGrabber.|r""
 ERROR_DETECTED = ""%s |cffffff00captured, click the link for more information.|r""
 USAGE = ""|cffffff00Usage: /buggrabber <1-%d>.|r""
 BUGGRABBER_STOPPED = ""|cffffff00There are too many errors in your UI. As a result, your game experience may be degraded. Disable or update the failing addons if you don't want to see this message again.|r""
 STOP_NAG = ""|cffffff00!BugGrabber will not nag about missing a display addon again until next patch.|r""
 ADDON_DISABLED = ""|cffffff00!BugGrabber and %s cannot coexist; %s has been forcefully disabled. If you want to, you may log out, disable !BugGrabber, and enable %s.|r""
 NO_DISPLAY_STOP = ""|cffffff00If you don't want to be reminded about this again, run /stopnag.|r""
 NO_DISPLAY_1 = ""|cffffff00You seem to be running !BugGrabber with no display addon to go along with it. Although a slash command is provided for accessing error reports, a display can help you manage these errors in a more convenient way.|r""
 ERROR_UNABLE = ""|cffffff00!BugGrabber is unable to retrieve errors from other players by itself. Please install BugSack or a similar display addon that might give you this functionality.|r""
 ADDON_CALL_PROTECTED = ""[%s] AddOn '%s' tried to call the protected function '%s'.""
}"	INCOMPLETE	
		
FIXED BUGS		
Gold.lua: Gold:Update() was called before the Gold module’s db reference was initialized, causing a nil self.db access at line 265.	TEST	n/a
Combat in instances related bug - I couldn't replicate, but hopefully fixed	TEST	n/a
The tooltips for Drag handles currently obstruct the functionality of tooltips, the bounding box of these tooltips needs to be shrunk, and position moved up and left if possible.	COMPLETE	n/a
When clicking on Pause, the timing of the session pauses, but tracking of gold does not, I'm not sure this logic is correct, when paused, if you loot gold, this should NOT be tracked.	COMPLETE	n/a
Heathstone itcon not working in Utility bar if hearthstone is  in bags. 	COMPLETE	n/a
When users select "Enable HUD" in the menu, the item tracker bar still does not hide (the main hud, utility bar and currency tracker bar do hide properly)	COMPLETE	n/a
		
OTHER		
Sales tracker - replicate : https://wago.io/YHKFhrUDt - Split by type (Auction House / Trade /  Crafting orders etc)	INCOMPLETE	LOW
Track Profession Overload (for mining & herbing)	INCOMPLETE	LOW
Add Auctionator Price Source Support	INCOMPLETE	MEDIUM
Code Cleanup Pass prior to release - to remove redundant code and bloat	INCOMPLETE	LOW
		
PROFESSIONS (PHASED IMPLEMENTATION, MAJORITY DEFERRED UNTIL MIDNIGHT STABILIZES)		
Baseline Profession Display – display learned primary professions with current skill level and click-to-open Blizzard profession UI	INCOMPLETE	LOW
Concentration Display  – optional display of current and max concentration (crafting profs only) with visual indicator for when the bar is full and counter "Time till full".	INCOMPLETE	LOW
Contextual Profession Actions – add profession-specific actions (for example Disenchant) via Utility Bar where relevant - based on check s of what profs the player has	INCOMPLETE	LOW
Profession Cooldown and Buff Reminders – high-level reminders for reliable profession cooldowns or temporary buffs	INCOMPLETE	LOW
Profession Knowledge and Quest Tracking – tracking of profession knowledge sources, weekly activities, or quest-based progression (expansion-specific)	CURRENTLY OUT OF SCOPE	n/a
Profession Treasure Tracking – tracking of profession-related treasures and knowledge unlock sources (data-heavy, advanced feature)	CURRENTLY OUT OF SCOPE	n/a
		
CURRENTLY OUT OF SCOPE		
Add support for more quick travel functionality (dungeon portals/wormhole generator/guild cloak/Earthen Portals/Mage Portals) - I think other addons like Opie and Tome of Teleportation handle this better. The core teleports already work	INCOMPLETE	n/a
		
		
Addon Notes		
The addon stores a small rolling history of recent WoW Token prices and compares the average of the latest three updates with the average of the three updates before that. An up or down arrow is only shown if the difference between those averages is at least 10,000 gold; otherwise no indicator is displayed.		
